# FREQUENCY HZ_REAL HZ_IMAG
1.0000e-02 -1.7021e-06 4.8052e-04
5.1795e-02 1.4214e-05 2.4879e-03
2.6827e-01 4.0076e-04 1.2767e-02
1.3895e+00 4.0847e-03 6.2551e-02
7.1969e+00 3.0755e-02 2.9582e-01
3.7276e+01 1.7543e-01 1.3359e+00
1.9307e+02 7.1416e-01 6.0079e+00
1.0000e+03 3.2101e+00 2.8264e+01
5.1795e+03 2.6448e+01 1.2708e+02
2.6827e+04 1.8971e+02 4.7490e+02
1.3895e+05 9.5746e+02 1.2854e+03
7.1969e+05 2.9577e+03 2.0917e+03
3.7276e+06 5.4469e+03 1.9051e+03
1.9307e+07 7.0884e+03 1.1548e+03
1.0000e+08 7.8865e+03 5.8011e+02
