# FREQUENCY HZ_REAL HZ_IMAG
5.0000e-01 9.1467e-03 3.6754e-02
2.1970e+00 4.0819e-02 1.1181e-01
9.6535e+00 9.8084e-02 3.5282e-01
4.2417e+01 1.7002e-01 1.3358e+00
1.8638e+02 3.5788e-01 5.6335e+00
8.1895e+02 2.2323e+00 2.3687e+01
3.5984e+03 1.6603e+01 9.2315e+01
1.5811e+04 1.0395e+02 3.1923e+02
6.9475e+04 5.1002e+02 8.8955e+02
3.0527e+05 1.7575e+03 1.7460e+03
1.3413e+06 3.9380e+03 2.1518e+03
5.8938e+06 6.0106e+03 1.7073e+03
2.5897e+07 7.2799e+03 1.0307e+03
1.1379e+08 7.9263e+03 5.4732e+02
5.0000e+08 8.2394e+03 2.7441e+02
