# FREQUENCY HZ_REAL HZ_IMAG
1.0000e-01 -4.5463e-15 -3.6875e-13
2.2758e-01 -2.2552e-14 -8.3581e-13
5.1795e-01 -9.4235e-14 -1.9081e-12
1.1788e+00 -2.5210e-13 -4.2002e-12
2.6827e+00 -7.1867e-13 -9.1861e-12
6.1054e+00 -1.9483e-12 -2.0090e-11
1.3895e+01 -5.0891e-12 -4.1532e-11
3.1623e+01 -1.1607e-11 -8.7410e-11
7.1969e+01 -2.4849e-11 -1.9084e-10
1.6379e+02 -4.7555e-11 -4.0889e-10
3.7276e+02 -9.4796e-11 -8.5103e-10
8.4834e+02 -2.0999e-10 -1.8800e-09
1.9307e+03 -5.6989e-10 -4.1167e-09
4.3940e+03 -1.6713e-09 -8.4061e-09
1.0000e+04 -4.5969e-09 -1.6874e-08
