# FREQUENCY HZ_REAL HZ_IMAG
1.0000e-01 -6.2691e-14 -6.8129e-13
2.2758e-01 -2.4436e-13 -1.4493e-12
5.1795e-01 -7.5940e-13 -2.9830e-12
1.1788e+00 -1.8284e-12 -5.6004e-12
2.6827e+00 -3.6198e-12 -1.0145e-11
6.1054e+00 -5.9796e-12 -1.9194e-11
1.3895e+01 -9.1068e-12 -3.6824e-11
3.1623e+01 -1.1980e-11 -7.6957e-11
7.1969e+01 -1.5964e-11 -1.7445e-10
1.6379e+02 -2.4444e-11 -3.9322e-10
3.7276e+02 -5.8944e-11 -8.5084e-10
8.4834e+02 -1.8437e-10 -1.9036e-09
1.9307e+03 -5.7482e-10 -4.1391e-09
4.3940e+03 -1.6802e-09 -8.4052e-09
1.0000e+04 -4.5958e-09 -1.6873e-08
