# FREQUENCY HZ_REAL HZ_IMAG
1.0000e-02 1.3687e-16 -3.7714e-14
5.1795e-02 -1.1122e-15 -1.9539e-13
2.6827e-01 -3.1868e-14 -1.0123e-12
1.3895e+00 -3.2011e-13 -4.9553e-12
7.1969e+00 -2.4114e-12 -2.3405e-11
3.7276e+01 -1.3755e-11 -1.0608e-10
1.9307e+02 -5.6725e-11 -4.7061e-10
1.0000e+03 -2.5279e-10 -2.2085e-09
5.1795e+03 -2.0879e-09 -1.0062e-08
2.6827e+04 -1.4814e-08 -3.7729e-08
1.3895e+05 -7.5544e-08 -1.0076e-07
7.1969e+05 -2.3419e-07 -1.6490e-07
3.7276e+06 -4.3173e-07 -1.5086e-07
1.9307e+07 -5.6009e-07 -9.0410e-08
1.0000e+08 -6.1742e-07 -4.5390e-08
