# FREQUENCY HZ_REAL HZ_IMAG
1.0000e-02 -5.1102e-16 -7.1289e-14
5.1795e-02 -1.7906e-14 -3.6700e-13
2.6827e-01 -3.2185e-13 -1.7223e-12
1.3895e+00 -2.1842e-12 -6.3582e-12
7.1969e+00 -6.6646e-12 -2.1905e-11
3.7276e+01 -1.2784e-11 -9.3858e-11
1.9307e+02 -2.9309e-11 -4.5683e-10
1.0000e+03 -2.3286e-10 -2.2350e-09
5.1795e+03 -2.0941e-09 -1.0059e-08
2.6827e+04 -1.4815e-08 -3.7729e-08
1.3895e+05 -7.5544e-08 -1.0076e-07
7.1969e+05 -2.3419e-07 -1.6490e-07
3.7276e+06 -4.3173e-07 -1.5086e-07
1.9307e+07 -5.6009e-07 -9.0410e-08
1.0000e+08 -6.1742e-07 -4.5390e-08
